fecha|contenido
Fri Jan 11 18:08:09 COT 2019|#SISMO ID: igepn2019auaq Revisado 2019-01-11 18:02:52 TL Magnitud:3.99 Profundidad: 141.21 km, a 36.88km de Puyo,Pastaza,Latitud: -1.7944 Longitud:-78.1394 Sintio este sismo? Reportelo! en https://t.co/M9I6xgAnLJ https://t.co/IR59G88P9A
Fri Jan 11 18:04:41 COT 2019|#SISMO ID: igepn2019auaq Preliminar 2019-01-11 18:02:51 TL Magnitud:3.80 Profundidad: 157.71 km, a 41.32km de Guano,Chimborazo,Latitud: -1.7399 Longitud:-78.2841 Sintio este sismo? Reportelo! en https://t.co/M9I6xgAnLJ https://t.co/y6jLbmcrdY
Thu Jan 10 10:10:49 COT 2019|#SISMO ID: igepn2019arpl Revisado 2019-01-10 10:06:15 TL Magnitud:3.93 Profundidad: 7.76 km, a 28.09km de Jama,Manabi,Latitud: -0.1613 Longitud:-80.5127 Sintio este sismo? Reportelo! en https://t.co/mHt96AB30p https://t.co/p95f6TQRfp
Thu Jan 10 10:09:10 COT 2019|#SISMO ID: igepn2019arpl Preliminar 2019-01-10 10:06:16 TL Magnitud:4.04 Profundidad: 6.01 km, a 22.59km de Jama,Manabi,Latitud: -0.1879 Longitud:-80.4661 Sintio este sismo? Reportelo! en https://t.co/mHt96AB30p https://t.co/JorjfgHwOD
Mon Jan 07 04:28:40 COT 2019|#SISMO ID: igepn2019alrq Revisado 2019-01-07 04:23:53 TL Magnitud:3.69 Profundidad: 8.02 km, a 1.58km de Ventanas,Los Rios,Latitud: -1.4544 Longitud:-79.4502 Sintio este sismo? Reportelo! en https://t.co/chGUdTh76v https://t.co/mhfnxFv3pP
Mon Jan 07 04:26:01 COT 2019|#SISMO ID: igepn2019alrq Preliminar 2019-01-07 04:23:53 TL Magnitud:3.96 Profundidad: 10.00 km, a 3.28km de Ventanas,Los Rios,Latitud: -1.4506 Longitud:-79.4930 Sintio este sismo? Reportelo! en https://t.co/chGUdTh76v https://t.co/UfIkTui0QV
Sun Jan 06 06:30:04 COT 2019|#SISMO ID: igepn2019ajzy Revisado 2019-01-06 06:19:33 TL Magnitud:4.20 Profundidad: 5.00 km, a 9.90km de Bucay,Guayas,Latitud: -2.1170 Longitud:-79.1929 Sintio este sismo? Reportelo! en https://t.co/fIrqKJYzIp https://t.co/sw8d9kLmQK
Sat Jan 05 02:11:19 COT 2019|#SISMO ID: igepn2019ahvz Revisado 2019-01-05 02:03:41 TL Magnitud:3.51 Profundidad: 22.28 km, a 23.61km de Pasaje,El Oro,Latitud: -3.2865 Longitud:-79.5967 Sintio este sismo? Reportelo! en https://t.co/b5T3xPoBaN https://t.co/nCXQ5gTEpZ
Sat Jan 05 02:06:05 COT 2019|#SISMO ID: igepn2019ahvz Preliminar 2019-01-05 02:03:41 TL Magnitud:3.57 Profundidad: 20.77 km, a 19.12km de Pasaje,El Oro,Latitud: -3.3048 Longitud:-79.6348 Sintio este sismo? Reportelo! en https://t.co/b5T3xPoBaN https://t.co/rgA8Jlbee5
Fri Jan 04 09:06:00 COT 2019|#SISMO ID: igepn2019agoe Revisado 2019-01-04 08:58:58 TL Magnitud:3.75 Profundidad: 5.00 km, a 57.79km de Muisne,Esmeraldas,Latitud: 0.9494 Longitud:-80.4154 Sintio este sismo? Reportelo! en https://t.co/EXYIhM98wy https://t.co/2SKpUjAcOS
