fecha|hora|magnitud|profundidad|provincia
2018/09/22|07:16:01|4.3|9.70|Manabi 
2018/09/22|01:12:03|2.9|6.81|Carchi 
2018/09/21|05:29:34|3.6|9.85|Manabi 
2018/09/20|17:45:18|4|159.77|Morona Stgo 
2018/09/20|12:54:36|4.9|21.07|Manabi 
2018/09/19|03:44:18|3.9|60.51|Guayas 
2018/09/17|15:44:39|4.8|89.74|Morona Stgo 
2018/09/14|23:25:22|4.5|10.00|Manabi 
2018/09/13|18:44:25|3.7|10.00|Manabi 
2018/09/13|03:20:49|3|6.46|Tungurahua 
2018/09/10|13:07:01|3.9|10.26|Guayas 
2018/09/08|21:28:37|4.2|5.83|Manabi 
2018/09/08|13:10:53|4.1|10.61|Manabi 
2018/09/06|23:00:58|4|12.77|Sta Elena 
2018/09/06|21:12:05|6.5|82.53|Chimborazo 
2018/09/05|21:21:03|3.6|60.99|Guayas 
2018/09/03|18:37:19|5.4|10.00|Galapagos 
2018/09/03|01:31:35|4.7|64.60|Morona Stgo 
2018/09/02|08:34:01|3.3|10.00|Esmeraldas 
2018/09/02|06:56:43|4.3|9.12|Manabi 
2018/09/01|22:43:16|5.1|35.96|Guayas 
2018/09/01|15:26:30|3.9|10.00|Morona Stgo 
2018/09/01|09:44:02|3.4|5.00|Carchi 
2018/09/01|02:25:51|3.6|71.78|Azuay 
2018/08/30|10:48:58|3|3.98|Carchi 
2018/08/27|07:50:28|4.2|5.00|Morona Stgo 
2018/08/26|17:08:20|3.6|10.00|Manabi 
2018/08/26|05:22:50|4.1|5.00|Manabi 
2018/08/26|00:57:54|3.7|61.28|Guayas 
2018/08/25|12:46:55|3|7.19|Pichincha 
2018/08/25|11:33:24|3.9|12.00|Morona Stgo 
2018/08/22|11:23:36|5.7|134.61|Morona Stgo 
2018/08/21|07:19:49|3.9|11.54|Manabi 
2018/08/20|19:57:00|3.6|56.02|Guayas 
2018/08/20|14:20:45|3.2|3.91|Pichincha 
2018/08/20|14:07:58|3.2|5.00|Galapagos 
2018/08/18|23:53:41|3.7|170.05|Pastaza 
2018/08/18|12:53:43|3.5|150.53|Tungurahua 
2018/08/18|10:18:43|4|53.02|Azuay 
2018/08/18|01:53:56|2.9|9.06|Pichincha 
2018/08/18|01:51:50|2.9|4.92|Pichincha 
2018/08/17|22:16:34|4.2|0.46|Manabi 
2018/08/17|17:26:36|3.2|5.00|Galapagos 
2018/08/16|14:09:14|4.9|3.91|Sta Elena 
2018/08/16|09:43:44|3.8|77.68|Manabi 
2018/08/16|07:55:10|3.5|15.84|Guayas 
2018/08/16|02:45:07|3.3|5.00|Galapagos 
2018/08/14|13:16:46|3|5.56|Galapagos 
2018/08/14|11:23:03|3.1|6.43|Galapagos 
2018/08/13|16:25:37|2.9|9.56|Galapagos 
2018/08/13|15:35:50|3.8|81.08|Canar 
2018/08/09|19:15:33|4.3|48.04|Manabi 
2018/08/09|11:55:56|3.1|2.00|Galapagos 
2018/08/09|04:29:37|3.1|5.00|Galapagos 
2018/08/09|01:06:40|3.5|6.00|Galapagos 
2018/08/07|10:09:41|3.7|185.03|Pastaza 
2018/08/06|21:38:32|3.6|4.88|Esmeraldas 
2018/08/06|15:03:48|3|1.00|Galapagos 
2018/08/06|08:16:52|3.4|1.00|Galapagos 
2018/08/06|06:14:03|2.9|5.00|Galapagos 
2018/08/05|16:09:29|2.8|1.00|Galapagos 
2018/08/05|12:39:20|2.9|3.05|Galapagos 
2018/08/02|05:41:11|3.1|-1.43|Galapagos 
2018/07/31|09:40:39|3.6|3.00|Galapagos 
2018/07/30|14:03:46|3|3.56|Galapagos 
2018/07/30|12:36:14|3|8.00|Galapagos 
2018/07/29|14:55:00|3.1|0.07|Galapagos 
2018/07/29|12:48:10|4|4.14|Galapagos 
2018/07/29|08:33:03|3.9|12.00|Manabi 
2018/07/28|19:15:24|3.4|6.04|Galapagos 
2018/07/28|08:20:57|4.2|2.00|Galapagos 
2018/07/27|16:37:35|4|19.31|Guayas 
2018/07/27|14:12:08|3.2|20.86|Galapagos 
2018/07/27|08:59:18|3.9|4.00|Manabi 
2018/07/25|22:08:56|3.3|0.00|Galapagos 
2018/07/25|10:57:17|3.9|89.90|Orellana 
2018/07/25|10:47:04|4.5|2.00|Galapagos 
2018/07/25|10:54:37|3|2.00|Galapagos 
2018/07/25|08:50:08|3.1|1.00|Galapagos 
2018/07/24|05:41:14|3.5|0.74|Galapagos 
2018/07/22|14:56:10|3|1.51|Galapagos 
2018/07/22|14:53:04|3.7|-0.39|Galapagos 
2018/07/22|14:49:15|5.1|-0.49|Galapagos 
2018/07/22|14:16:12|4.4|5.00|Galapagos 
2018/07/21|11:35:28|4.5|1.00|Galapagos 
2018/07/20|14:20:46|3|5.15|Galapagos 
2018/07/20|11:19:22|3.5|2.00|Galapagos 
2018/07/20|10:45:48|3.7|-0.88|Galapagos 
2018/07/20|00:41:39|2.8|0.73|Galapagos 
2018/07/19|16:12:00|3.2|-0.81|Galapagos 
2018/07/19|15:59:56|3.2|0.45|Galapagos 
2018/07/19|15:48:53|2.9|3.59|Galapagos 
2018/07/19|15:26:17|3.1|0.66|Galapagos 
2018/07/19|06:05:20|2.9|10.00|Galapagos 
2018/07/19|01:07:23|3.8|5.52|Galapagos 
2018/07/18|12:49:51|2.9|3.15|Galapagos 
2018/07/18|12:48:19|3.2|1.17|Galapagos 
2018/07/18|10:58:50|3.6|53.99|El Oro 
2018/07/18|05:28:45|3|4.00|Galapagos 
2018/07/17|19:19:18|3.1|5.10|Manabi 
2018/07/17|19:04:02|3|11.97|Galapagos 
2018/07/17|11:53:24|2.8|1.00|Galapagos 
2018/07/16|05:58:46|3.6|12.18|Galapagos 
2018/07/15|22:31:02|4.1|6.00|Galapagos 
2018/07/15|22:30:30|4.2|1.73|Galapagos 
2018/07/15|20:51:22|4.7|-1.00|Galapagos 
2018/07/15|08:35:03|4.4|4.58|Galapagos 
2018/07/15|06:24:29|3.4|0.28|Galapagos 
2018/07/15|04:27:28|3.5|149.17|Morona Stgo 
2018/07/14|20:40:15|2.8|-0.48|Galapagos 
2018/07/14|20:05:21|2.7|4.86|Galapagos 
2018/07/14|11:05:50|1.9|5.00|Galapagos 
2018/07/13|22:44:19|3.3|19.93|Guayas 
2018/07/13|16:03:20|3.1|3.00|Galapagos 
2018/07/13|09:31:24|3.3|2.49|Galapagos 
2018/07/13|09:30:40|3.1|3.00|Galapagos 
2018/07/12|18:08:41|2.9|-0.73|Galapagos 
2018/07/12|17:14:16|3|5.00|Galapagos 
2018/07/12|14:24:26|4.3|9.63|Galapagos 
2018/07/11|16:07:01|3.1|7.10|Galapagos 
2018/07/11|10:50:53|2.9|5.00|Galapagos 
2018/07/11|05:34:39|2.8|2.00|Galapagos 
2018/07/10|22:39:03|2.8|3.60|Galapagos 
2018/07/10|21:02:33|3.7|2.00|Galapagos 
2018/07/10|19:49:11|2.4|1.71|Galapagos 
2018/07/10|16:36:39|3.3|4.19|Galapagos 
2018/07/10|15:54:37|3.3|5.00|Galapagos 
2018/07/10|02:15:44|4|1.65|Zamora Ch 
2018/07/09|19:34:24|2.5|3.37|Galapagos 
2018/07/09|13:14:13|5.2|9.33|Guayas 
2018/07/09|10:17:46|3.2|1.47|Galapagos 
2018/07/09|07:53:15|3.6|1.46|Manabi 
2018/07/09|05:23:25|3.2|5.00|Galapagos 
2018/07/09|02:19:51|3|7.51|Galapagos 
2018/07/08|23:58:19|2.8|3.40|Galapagos 
2018/07/08|17:34:59|3.8|4.37|Galapagos 
2018/07/08|02:00:32|2.8|6.17|Galapagos 
2018/07/07|19:02:22|2.9|4.29|Galapagos 
2018/07/07|16:21:31|2.9|4.00|Galapagos 
2018/07/07|12:54:12|3.1|6.86|Galapagos 
2018/07/07|11:51:34|3.2|7.20|Galapagos 
2018/07/07|05:28:15|3|8.90|Galapagos 
2018/07/06|22:25:00|3.4|4.04|Galapagos 
2018/07/06|17:48:07|2.8|9.36|Galapagos 
2018/07/06|02:11:57|2.9|-1.27|Galapagos 
2018/07/05|12:18:55|3|6.29|Galapagos 
2018/07/05|10:55:50|3.8|2.00|Galapagos 
